index,cge_p1000852,cge_p1000850,cge_p1000857,cge_p1000854,cge_p524,cge_p1000866,cge_p1000840,cge_p1000860,cge_p507,cge_p1000864,cge_p1000844,cge_p1000862,cge_p1000842,cge_p1000848,cge_p504,cge_p515,cge_p509,cge_p540,cge_p510,cge_p1000859,iag_cientec
2015-03-17,18.6805,18.569666666666667,17.124333333333333,18.670666666666666,18.111666666666665,18.880166666666668,18.373333333333328,18.623333333333328,16.676333333333332,18.13866666666668,17.336,18.143333333333327,-9999.0,19.1355,18.078000000000007,18.396833333333333,18.242500000000003,17.935166666666667,18.7915,18.244,18.1
2015-03-18,19.501333333333328,19.483,18.392,19.901,19.278333333333336,19.99166666666667,19.31,19.966166666666666,17.838,19.28,17.833000000000006,19.085,-9999.0,20.197833333333328,19.01633333333333,19.276666666666667,19.132,19.150666666666666,19.885666666666665,19.355333333333334,18.5
2015-03-19,18.147000000000002,18.455666666666673,17.717166666666667,18.32466666666668,18.198833333333337,19.577,18.405333333333328,19.415833333333328,17.201833333333333,18.960833333333326,17.88333333333333,18.782833333333333,18.2675,19.843833333333333,18.873666666666665,18.71433333333333,18.7225,18.700666666666667,19.509666666666664,18.0915,19.0
2015-03-20,18.239166666666666,18.594833333333334,16.607499999999998,18.487666666666666,17.415,18.982666666666674,17.999166666666667,18.21733333333333,17.0825,18.479000000000006,16.965166666666665,18.616833333333336,17.759,19.184166666666666,17.517500000000002,18.583166666666667,18.927333333333333,17.554333333333332,18.396833333333326,18.467333333333336,18.8
2015-03-21,18.3835,18.552833333333336,17.577833333333334,18.640333333333334,17.9555,19.038166666666665,18.177,18.982666666666667,17.608,18.173666666666666,16.807166666666667,18.208833333333327,16.809,18.761166666666664,17.419833333333333,17.856333333333335,18.175333333333327,17.722,18.935666666666666,18.38683333333333,18.3
2015-03-22,17.910166666666665,18.313,17.248500000000003,17.999166666666667,17.555999999999994,18.304666666666666,17.890166666666673,18.391833333333327,16.557166666666664,17.503833333333333,17.0725,17.419833333333333,17.833,18.64016666666668,17.577833333333334,17.999000000000006,17.982333333333333,17.566,18.264333333333333,17.655166666666673,18.0
2015-03-23,17.141166666666667,17.4905,15.407333333333336,17.5725,16.906333333333333,17.3645,17.0775,17.352833333333333,15.988166666666665,16.953,15.427666666666667,17.300666666666668,16.169666666666668,17.7625,16.743833333333335,16.81233333333333,16.71983333333333,16.758499999999998,17.233833333333333,17.015500000000007,17.1
2015-03-24,16.914666666666665,17.156499999999998,15.483000000000002,17.334333333333333,-9999.0,17.774166666666666,16.458166666666667,17.844666666666665,16.090666666666667,16.246833333333335,14.6135,17.0775,16.307000000000002,17.975666666666665,17.822666666666667,17.696833333333334,17.663333333333327,16.849333333333334,17.900000000000006,16.479833333333335,16.2
2015-03-25,16.617499999999996,17.211833333333335,14.5715,17.4685,-9999.0,17.748833333333334,16.426333333333332,17.554333333333332,15.622333333333332,16.55033333333333,14.693999999999996,16.958,15.7735,18.064666666666664,17.216833333333334,17.581166666666665,17.272166666666664,16.7115,17.55933333333334,16.584166666666665,17.1
2015-03-26,18.574666666666666,18.027666666666665,15.429333333333336,18.43233333333333,17.691833333333335,18.804666666666666,18.33483333333333,18.697333333333333,16.1225,17.906666666666673,15.531666666666668,17.889999999999993,17.24716666666667,18.501166666666666,17.065833333333334,17.673333333333336,18.193833333333334,18.121333333333336,18.680666666666664,17.905,18.1
2015-03-27,19.321833333333334,18.93233333333333,15.065000000000005,19.523166666666665,19.086833333333328,20.632833333333334,18.65033333333333,20.438,15.953,17.985500000000005,16.276833333333332,18.469166666666673,17.5425,20.312,17.336000000000002,17.586166666666667,18.942333333333334,18.8955,20.239833333333333,18.794666666666668,17.4
